customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3887-PBQAO,Female,0,Yes,Yes,45,Yes,No,No,No,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),25.899999618530273,1216,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.3499984741211,79,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.54999923706055,565,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.1500015258789,496,Yes
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.80000305175781,4327,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),20.149999618530273,973,No
4445-ZJNMU,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.30000305175781,918,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.150001525878906,2215,No
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),20.649999618530273,1057,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No internet service,Two year,Yes,Mailed check,19.950000762939453,927,No
3016-KSVCP,Male,0,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009,No
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05000305175781,2570,No
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.69999694824219,74,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714,No
6067-NGCEU,Female,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05000305175781,7107,No
9848-JQJTX,Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9000015258789,7459,No
8637-XJIVR,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.94999694824219,927,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.8499984741211,4748,No
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,21.049999237060547,113,Yes
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),21.0,1107,No
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514,Yes
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,20.200000762939453,20,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,19.450000762939453,19,No
7123-WQUHX,Male,0,No,No,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605,No
5386-THSLQ,Female,1,Yes,No,66,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.54999923706055,3027,No
3192-NQECA,Male,0,Yes,No,68,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611,Yes
6180-YBIQI,Male,0,No,No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.299999237060547,100,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.1500015258789,7303,No
9750-BOOHV,Female,0,No,No,32,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.149999618530273,927,No
8597-CWYHH,Male,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.3499984741211,3921,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Credit card (automatic),19.399999618530273,1363,No
0486-HECZI,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95000076293945,3042,No
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.6500015258789,3954,No
4846-WHAFZ,Female,1,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868,Yes
5256-SKJGO,Female,0,Yes,Yes,64,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.599998474121094,3423,No
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.8499984741211,248,No
9560-BBZXK,Female,0,No,No,36,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.049999237060547,1126,No
5299-RULOA,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064,Yes
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Mailed check,20.649999618530273,835,No
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.19999694824219,2151,No
1091-SOZGA,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.80000305175781,5515,No
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,20.700000762939453,112,No
0404-SWRVG,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4000015258789,229,Yes
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.70000076293945,350,No
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,20.850000381469727,62,No
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.94999694824219,3027,No
4412-YLTKF,Female,1,No,No,27,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05000305175781,2135,Yes
6734-PSBAW,Male,0,Yes,No,72,Yes,No,No,No,No,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),23.549999237060547,1723,No
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,19.75,19,No
2639-UGMAZ,Male,1,No,No,71,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45000076293945,3985,No
2876-GZYZC,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.94999694824219,1215,No
6207-WIOLX,Female,0,Yes,Yes,25,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.599998474121094,1502,Yes
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.54999923706055,3260,No
3091-FYHKI,Male,0,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45000076293945,35,Yes
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.349998474121094,81,Yes
7799-LGRDP,Female,0,No,No,43,Yes,No,No,No,No,No,No,No,No internet service,Two year,Yes,Credit card (automatic),25.700000762939453,1188,No
7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778,No
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Mailed check,20.200000762939453,1277,No
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,No,No,No,No,No,No internet service,Two year,Yes,Mailed check,19.600000381469727,1170,No
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.44999694824219,70,Yes
3146-MSEGF,Female,1,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05000305175781,6425,No
4080-OGPJL,Female,0,No,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.1500015258789,563,Yes
1095-WGNGG,Female,0,Yes,No,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05000305175781,5971,No
2636-SJDOU,Male,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.30000305175781,5289,No
1131-QQZEB,Male,1,Yes,No,71,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),23.950000762939453,1756,No
5716-EZXZN,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05000305175781,6416,No
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,No,No,No,No,No,No internet service,One year,No,Mailed check,19.600000381469727,61,No
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.650001525878906,45,Yes
6440-DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929,No
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071,No
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55000305175781,564,No
3874-EQOEP,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655,Yes
1679-JRFBR,Female,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.1500015258789,7930,No
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.0999984741211,5215,No
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,19.700000762939453,113,No
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9000015258789,1152,No
9167-APMXZ,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.1500015258789,1821,No
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No internet service,One year,No,Mailed check,20.149999618530273,419,No
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024,No
7554-NEWDD,Male,0,No,No,10,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),25.700000762939453,251,No
8992-VONJD,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,56.0,764,No
0867-MKZVY,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4000015258789,1592,Yes
4482-EWFMI,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.69999694824219,135,No
4648-YPBTM,Male,0,No,No,53,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9000015258789,3958,No
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No,No,No,No,No,No,No internet service,One year,No,Mailed check,20.600000381469727,233,No
6345-FZOQH,Male,0,Yes,No,69,Yes,No,No,No,No,No,No,No,No internet service,Two year,No,Mailed check,19.899999618530273,1363,No
3376-BMGFE,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9000015258789,273,Yes
5997-OPVFA,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05000305175781,6254,No
3445-HXXGF,Male,1,Yes,No,58,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.29999923706055,2651,Yes
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,20.399999618530273,321,No
7654-YWJUF,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539,No
1875-QIVME,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4000015258789,242,Yes
6727-IOTLZ,Male,0,Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.94999694824219,1181,No
0691-JVSYA,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.8499984741211,5000,Yes
5918-VUKWP,Female,0,No,No,32,Yes,No,No,No,No,No,No,No,No internet service,One year,No,Bank transfer (automatic),20.549999237060547,654,No
1744-JHKYS,Female,0,Yes,No,34,Yes,No,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,24.700000762939453,780,No
